bot_name,n_trades,wr_pct,total_pnl_pct,avg_pnl_pct,total_pnl_abs,avg_pnl_abs,max_dd_abs,consec_wins,consec_losses,total_fees,avg_dur_h,max_dur_h,min_dur_h
ft-adxmomentum-default,10,30.0,-0.4531,-0.0453,-15.4663,-1.5466,100.8321,2,4,66.0374,6.22,14.26,0.13
ft-adxsmas-default,17,11.76,-2.9765,-0.1751,-97.9726,-5.7631,97.9726,1,8,111.6656,2.42,5.5,0.36
ft-asdtsrockwelltrading-default,56,7.14,-13.8651,-0.2476,-448.4024,-8.0072,448.4024,3,29,361.3667,0.78,2.5,0.09
ft-averagestrategy-default,40,7.5,-8.3888,-0.2097,-273.502,-6.8375,273.502,2,32,259.8311,1.92,10.83,0.08
ft-awesomemacd-default,15,6.67,-4.954,-0.3303,-162.3726,-10.8248,162.3726,1,8,98.2589,2.6,9.01,0.09
ft-bandtastic-v25,29,48.28,-0.95,-0.0328,-32.2675,-1.1127,128.6562,6,9,191.1245,3.08,10.0,0.5
ft-bbandrsi-default,10,60.0,-0.5083,-0.0508,-17.5031,-1.7503,114.1903,5,3,66.3283,9.36,16.08,2.75
ft-binhv27-default,8,62.5,-1.4525,-0.1816,-48.463,-6.0579,100.7699,4,2,52.9086,4.37,11.25,1.44
ft-binhv45-default,0,,,,,,,,,,,,
ft-breakeven-v26,0,,,,,,,,,,,,
ft-ccistrategy-default,1,0.0,-2.1924,-2.1924,-72.4194,-72.4194,72.4194,0,1,6.534,3.46,3.46,3.46
ft-clucmay72018-default,0,,,,,,,,,,,,
ft-cmcwinner-default,10,90.0,-1.138,-0.1138,-37.6408,-3.7641,48.8449,5,1,65.9783,3.6,13.13,0.67
ft-cofibitstrategy-default,17,11.76,-2.6206,-0.1542,-86.2513,-5.0736,86.2513,1,10,111.6947,0.57,2.78,0.17
ft-combinedbinhandcluc-v51,0,,,,,,,,,,,,
ft-customstoplosswithpsar-v27,0,,,,,,,,,,,,
ft-diamond-v47,8,100.0,3.5687,0.4461,118.2897,14.7862,0,8,0,53.2918,9.73,31.21,1.1
ft-emaskippump-default,17,35.29,-2.4871,-0.1463,-82.5979,-4.8587,122.2431,2,4,111.979,4.0,10.0,0.6
ft-fadxsmastrategy-default,1,0.0,-0.5261,-0.5261,-17.3468,-17.3468,17.3468,0,1,3.9466,2.08,2.08,2.08
ft-fixedriskrewardloss-v28,0,,,,,,,,,,,,
ft-fottstrategy-default,7,85.71,11.9189,1.7027,394.7846,56.3978,106.623,3,1,47.0941,26.56,40.33,12.03
ft-freinforcedstrategy-default,3,66.67,0.642,0.214,21.0968,7.0323,8.3815,2,1,3.9435,2.48,2.6,2.34
ft-fsamplestrategy-default,0,,,,,,,,,,,,
ft-fsupertrendstrategy-default,24,4.17,-10.1101,-0.4213,-328.9861,-13.7078,328.9861,1,17,156.1857,1.54,4.63,0.5
ft-godstra-v29,0,,,,,,,,,,,,
ft-heracles-v30,0,,,,,,,,,,,,
ft-hlhb-v31,12,66.67,10.8862,0.9072,362.6437,30.2203,39.5696,3,1,80.3856,5.38,17.17,0.1
ft-hourbasedstrategy-v32,9,100.0,14.2635,1.5848,476.264,52.9182,0,9,0,60.3361,32.22,40.6,30.62
ft-informativesample-v33,16,100.0,20.371,1.2732,688.8219,43.0514,0,16,0,108.3546,17.87,46.02,0.69
ft-low-bb-default,0,,,,,,,,,,,,
ft-mabstra-v34,0,,,,,,,,,,,,
ft-macdstrategy-crossed-default,2,100.0,2.1037,1.0519,69.4909,34.7455,0,2,0,13.2825,11.15,16.94,5.37
ft-macdstrategy-default,10,100.0,11.5903,1.159,388.4455,38.8445,0,10,0,67.3578,18.07,29.03,3.03
ft-multi-tf-v35,0,,,,,,,,,,,,
ft-multima-v50,9,88.89,22.3487,2.4832,747.5595,83.0622,32.1498,5,1,60.5086,7.55,11.75,3.84
ft-multirsi-default,17,58.82,0.3038,0.0179,9.6038,0.5649,75.724,5,3,112.6956,2.61,8.33,0.77
ft-patternrecognition-v36,0,,,,,,,,,,,,
ft-powertower-v37,0,,,,,,,,,,,,
ft-quickie-default,6,100.0,6.2988,1.0498,209.1366,34.8561,0,6,0,40.0468,21.97,28.68,17.59
ft-reinforcedaveragestrategy-default,26,0.0,-7.0068,-0.2695,-229.0236,-8.8086,229.0236,0,26,169.7887,1.54,6.18,0.08
ft-reinforcedquickie-default,11,54.55,0.6403,0.0582,19.5428,1.7766,141.2587,5,3,73.1796,13.35,24.08,2.82
ft-reinforcedsmoothscalp-default,2,100.0,1.842,0.921,60.9147,30.4574,0,2,0,13.3031,5.68,8.02,3.34
ft-sample-strategy-default,8,100.0,8.5582,1.0698,285.1802,35.6475,0,8,0,53.5954,16.21,24.27,5.94
ft-samplestrategy-default,0,,,,,,,,,,,,
ft-scalp-default,10,20.0,-0.9385,-0.0939,-30.9679,-3.0968,30.9679,1,4,65.9171,0.37,0.75,0.17
ft-simple-default,18,88.89,13.5164,0.7509,452.2149,25.123,103.8293,8,1,121.4416,15.06,46.16,0.17
ft-smoothoperator-default,8,75.0,1.8943,0.2368,62.1839,7.773,30.9965,2,1,53.0445,8.06,14.25,2.58
ft-smoothscalp-default,9,66.67,0.2278,0.0253,7.2345,0.8038,87.9149,3,2,59.5933,3.19,4.96,0.8
ft-ss1-londonsweep-v39,0,,,,,,,,,,,,
ft-strategy001-custom-exit-v40,13,100.0,3.2532,0.2502,107.9056,8.3004,0,13,0,86.4102,12.44,32.1,0.17
ft-strategy001-v41,10,100.0,10.8386,1.0839,362.3357,36.2336,0,10,0,67.2216,19.82,36.61,1.0
ft-strategy002-v42,0,,,,,,,,,,,,
ft-strategy003-v43,2,100.0,0.1829,0.0914,6.0408,3.0204,0,2,0,13.223,20.69,23.34,18.03
ft-strategy004-v57,2,100.0,0.3239,0.162,10.7,5.35,0,2,0,13.23,10.68,20.45,0.92
ft-strategy005-v45,3,100.0,5.6268,1.8756,185.8602,61.9534,0,3,0,20.0049,14.64,29.54,5.45
ft-supertrend-v48,17,11.76,-6.4558,-0.3798,-211.2448,-12.4262,211.2448,1,8,111.1712,3.46,14.5,0.17
ft-swinghightosky-v46,12,100.0,3.9891,0.3324,132.3971,11.0331,0,12,0,79.9671,10.75,21.47,4.08
ft-tdsequentialstrategy-default,10,30.0,-1.3149,-0.1315,-44.0386,-4.4039,110.3601,2,4,65.7971,5.86,10.34,1.5
ft-technicalexamplestrategy-default,35,5.71,-6.204,-0.1773,-203.0249,-5.8007,203.0249,1,16,229.0507,0.78,3.27,0.08
ft-trendfollowingstrategy-default,4,100.0,20.5004,5.1251,680.0162,170.0041,0,4,0,27.2157,70.34,95.35,36.51
ft-universalmacd-v49,0,,,,,,,,,,,,
ft-volatilitysystem-default,1,0.0,-14.0889,-14.0889,-231.924,-231.924,231.924,0,1,1.034,24.06,24.06,24.06
nk-cc_ema21-btc,0,,,,,,,,,,,,
nk-cc_ema21-eth,1,100.0,6.12,6.12,611.3945,611.3945,0,1,0,8.3625,19.95,19.95,19.95
nk-cc_ema21-sol,0,,,,,,,,,,,,
